id;numero;rue;commune;ville;pays
1;synthesize Supervisor Self-enabling;Bermudian;parse index;orchid Specialist Fresh;redundant Oman Personal
2;Strategist Russian;optical indigo transmit;Lights withdrawal target;bypass hierarchy protocol;Tactics Idaho Arkansas
3;US Pizza throughput;Soft application;bluetooth transmit Avon;withdrawal;improvement Principal Adaptive
4;Soft;brand solid;quantify Bedfordshire;web-readiness portals;Keyboard connecting
5;Brand;circuit enterprise;transmit Gloves;synthesizing online;hack multi-state
6;tertiary;payment;Markets Savings scalable;Account Reduced Identity;Bedfordshire Directives area
7;extensible cross-media;Cambridgeshire Lithuania;Rubber withdrawal Ameliorated;cross-platform Right-sized;programming Rustic Account
8;Portugal;Representative multi-state;blue Pennsylvania;deposit regional Borders;Dirham
9;Rustic JBOD;Agent Automotive;technologies;Chips Islands ROI;Arkansas
10;South;National Avon Vista;Automotive Profound;e-business;Towels Towels
