id;numero;date_debut;date_fin;statut
1;tan;2023-05-31T03:45:23;2023-05-30T22:34:09;Triple-buffered
2;empowering program;2023-05-31T03:18:35;2023-05-30T16:22:46;International Table
3;Bedfordshire Granite;2023-05-30T11:24:08;2023-05-31T07:42:57;Dynamic Dam
4;static copy Unions;2023-05-30T13:13:30;2023-05-30T12:49:00;Tasty Fields interfaces
5;Afghani;2023-05-30T14:17:13;2023-05-30T09:58:55;teal
6;Fantastic Roads;2023-05-30T09:59:41;2023-05-30T10:01:18;Field engineer dynamic
7;Handcrafted open-source;2023-05-30T14:01:12;2023-05-30T23:15:48;Technician AI
8;digital Borders National;2023-05-31T08:14:54;2023-05-30T13:31:51;Washington HTTP Fuerte
9;heuristic deposit Crossing;2023-05-31T08:15:07;2023-05-30T16:41:31;Direct
10;compressing;2023-05-30T17:50:52;2023-05-30T23:24:07;Supervisor Small
